F S   UID    PID   PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S     0    363      2  0  60 -20 -     0 -      ?        00:00:00 loop11
1 S     0    364      2  0  60 -20 -     0 -      ?        00:00:00 loop12
1 S     0    365      2  0  60 -20 -     0 -      ?        00:00:00 loop13
1 S     0    366      2  0  60 -20 -     0 -      ?        00:00:00 loop14
1 S     0    367      2  0  60 -20 -     0 -      ?        00:00:00 loop15
1 S     0    372      2  0  60 -20 -     0 -      ?        00:00:00 loop16
1 S     0    382      1  0  80   0 - 39697 -      ?        00:00:00 vmware-vmblock-
4 S     0    385      1  0  80   0 - 51510 -      ?        00:00:09 vmtoolsd
4 S   101    426      1  0  80   0 - 17686 -      ?        00:00:00 systemd-resolve
4 S 62583    428      1  0  80   0 - 36524 -      ?        00:00:00 systemd-timesyn
4 S   102    627      1  0  80   0 - 65759 -      ?        00:00:00 rsyslogd
4 S     0    629      1  0  80   0 - 125839 -     ?        00:00:00 udisksd
4 S   103    630      1  0  80   0 - 12900 -      ?        00:00:00 dbus-daemon
4 S     0    637      1  0  80   0 -  1138 -      ?        00:00:00 acpid
4 S     0    638      1  0  80   0 - 44432 -      ?        00:00:00 networkd-dispat
4 S     0    639      1  0  80   0 - 88380 -      ?        00:00:00 ModemManager
4 S   116    640      1  0  80   0 - 11814 -      ?        00:00:00 avahi-daemon
4 S     0    642      1  0  80   0 - 21933 -      ?        00:00:00 VGAuthService
4 S     0    644      1  0  80   0 - 73662 -      ?        00:00:00 accounts-daemon
4 S     0    646      1  0  80   0 - 17675 -      ?        00:00:00 systemd-logind
4 S     0    656      1  0  80   0 -  9607 -      ?        00:00:00 cron
4 S     0    664      1  0  80   0 - 141403 -     ?        00:00:00 NetworkManager
4 S     0    673      1  0  80   0 - 11188 -      ?        00:00:00 wpa_supplicant
4 S     0    678      1  0  80   0 - 139778 -     ?        00:00:02 snapd
4 S     0    724      1  0  80   0 - 75843 -      ?        00:00:00 polkitd
1 S   116    745    640  0  80   0 - 11769 -      ?        00:00:00 avahi-daemon
4 S     0    786      1  0  80   0 - 77045 -      ?        00:00:00 gdm3
4 S     0    790    786  0  80   0 - 65388 -      ?        00:00:00 gdm-session-wor
4 S   112    829      1  0  80   0 - 116075 -     ?        00:00:00 whoopsie
1 S   113    840      1  0  80   0 - 14234 -      ?        00:00:00 kerneloops
1 S   113    846      1  0  80   0 - 14234 -      ?        00:00:00 kerneloops
4 S   121    887      1  0  80   0 - 19218 -      ?        00:00:00 systemd
5 S   121    888    887  0  80   0 - 28523 -      ?        00:00:00 (sd-pam)
4 S   121    900    790  0  80   0 - 49449 -      tty1     00:00:00 gdm-wayland-ses
0 S   121    902    887  0  80   0 - 12563 -      ?        00:00:00 dbus-daemon
0 S   121    904    900  0  80   0 - 139738 -     tty1     00:00:00 gnome-session-b
0 S   121    910    904  0  80   0 - 723817 -     tty1     00:00:05 gnome-shell
4 S     0    917      1  0  80   0 - 80576 -      ?        00:00:00 upowerd
0 S   121    930    910  0  80   0 - 64584 -      tty1     00:00:00 Xwayland
0 S   121    933    887  0  80   0 - 87350 -      ?        00:00:00 at-spi-bus-laun
0 S   121    938    933  0  80   0 - 12482 -      ?        00:00:00 dbus-daemon
0 S   121    940    887  0  80   0 - 55190 -      ?        00:00:00 at-spi2-registr
0 S   121    943    887  0  80   0 - 288326 -     ?        00:00:00 pulseaudio
4 S   109    945      1  0  81   1 - 45876 -      ?        00:00:00 rtkit-daemon
0 S   121    957    910  0  80   0 - 108773 -     tty1     00:00:00 ibus-daemon
0 S   121    960    957  0  80   0 - 70185 -      tty1     00:00:00 ibus-dconf
0 S   121    964      1  0  80   0 - 122016 -     tty1     00:00:00 ibus-x11
0 S   121    967    887  0  80   0 - 69672 -      ?        00:00:00 ibus-portal
4 S     0    980      1  0  80   0 - 74195 -      ?        00:00:00 boltd
4 S     0    981      1  0  80   0 - 112123 -     ?        00:00:08 packagekitd
0 S   121    982    904  0  80   0 - 159661 -     tty1     00:00:00 gsd-xsettings
0 S   121    988    904  0  80   0 - 69538 -      tty1     00:00:00 gsd-a11y-settin
0 S   121    992    904  0  80   0 - 121919 -     tty1     00:00:00 gsd-clipboard
0 S   121    995    904  0  80   0 - 200713 -     tty1     00:00:00 gsd-color
0 S   121    996    904  0  80   0 - 98426 -      tty1     00:00:00 gsd-datetime
0 S   121    998    904  0  80   0 - 70935 -      tty1     00:00:00 gsd-housekeepin
0 S   121   1000    904  0  80   0 - 160518 -     tty1     00:00:00 gsd-keyboard
0 S   121   1004    904  0  80   0 - 234255 -     tty1     00:00:00 gsd-media-keys
0 S   121   1005    904  0  80   0 - 50499 -      tty1     00:00:00 gsd-mouse
0 S   121   1006    904  0  80   0 - 165338 -     tty1     00:00:00 gsd-power
0 S   121   1011    904  0  80   0 - 66751 -      tty1     00:00:00 gsd-print-notif
0 S   121   1012    904  0  80   0 - 50504 -      tty1     00:00:00 gsd-rfkill
0 S   121   1013    904  0  80   0 - 68933 -      tty1     00:00:00 gsd-screensaver
0 S   121   1016    904  0  80   0 - 76275 -      tty1     00:00:00 gsd-sharing
0 S   121   1021    904  0  80   0 - 112916 -     tty1     00:00:00 gsd-smartcard
0 S   121   1026    904  0  80   0 - 83216 -      tty1     00:00:00 gsd-sound
0 S   121   1029    904  0  80   0 - 143159 -     tty1     00:00:00 gsd-wacom
0 S   121   1039    957  0  80   0 - 51222 -      tty1     00:00:00 ibus-engine-sim
4 S   117   1069      1  0  80   0 - 81241 -      ?        00:00:00 colord
4 S     0   1086    786  0  80   0 - 66936 -      ?        00:00:00 gdm-session-wor
4 S  1000   1089      1  0  80   0 - 19250 ep_pol ?        00:00:00 systemd
5 S  1000   1090   1089  0  80   0 - 28523 -      ?        00:00:00 (sd-pam)
1 S  1000   1103      1  0  80   0 - 72091 -      ?        00:00:00 gnome-keyring-d
4 S  1000   1107   1086  0  80   0 - 53032 poll_s tty2     00:00:00 gdm-x-session
4 R  1000   1109   1107  2  80   0 - 124784 -     tty2     00:01:29 Xorg
0 S  1000   1116   1089  0  80   0 - 12751 ep_pol ?        00:00:00 dbus-daemon
0 S  1000   1120   1107  0  80   0 - 160348 poll_s tty2    00:00:00 gnome-session-b
1 S  1000   1197   1120  0  80   0 -  2826 -      ?        00:00:00 ssh-agent
0 S  1000   1199   1089  0  80   0 - 87324 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000   1204   1199  0  80   0 - 12513 ep_pol ?        00:00:00 dbus-daemon
0 S  1000   1207   1089  0  80   0 - 55193 poll_s ?        00:00:00 at-spi2-registr
0 R  1000   1224   1120  4  80   0 - 746116 -     tty2     00:02:44 gnome-shell
0 S  1000   1230   1089  0  80   0 - 72991 poll_s ?        00:00:00 gvfsd
0 S  1000   1235   1089  0  80   0 - 104028 futex_ ?       00:00:00 gvfsd-fuse
1 S  1000   1246      1  0  69 -11 - 293040 poll_s ?       00:00:02 pulseaudio
0 S  1000   1256   1224  0  80   0 - 90493 poll_s tty2     00:00:03 ibus-daemon
0 S  1000   1260   1256  0  80   0 - 70188 poll_s tty2     00:00:00 ibus-dconf
0 S  1000   1262      1  0  80   0 - 85988 poll_s tty2     00:00:00 ibus-x11
0 S  1000   1265   1089  0  80   0 - 69672 poll_s ?        00:00:00 ibus-portal
0 S  1000   1275   1089  0  80   0 - 172441 poll_s ?       00:00:00 gnome-shell-cal
0 S  1000   1282   1089  0  80   0 - 244735 poll_s ?       00:00:00 evolution-sourc
0 S  1000   1288   1089  0  80   0 - 47008 poll_s ?        00:00:00 dconf-service
0 S  1000   1291   1089  0  80   0 - 76611 poll_s ?        00:00:00 gvfs-udisks2-vo
0 S  1000   1298   1089  0  80   0 - 72198 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000   1302   1089  0  80   0 - 94703 poll_s ?        00:00:00 gvfs-afc-volume
0 S  1000   1307   1089  0  80   0 - 68967 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1000   1311   1089  0  80   0 - 68511 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1000   1315   1089  0  80   0 - 212001 poll_s ?       00:00:00 goa-daemon
0 S  1000   1327   1089  0  80   0 - 94272 poll_s ?        00:00:00 goa-identity-se
0 S  1000   1333   1120  0  80   0 - 69541 poll_s tty2     00:00:00 gsd-mouse
0 S  1000   1334   1120  0  80   0 - 129294 poll_s tty2    00:00:01 gsd-power
0 S  1000   1336   1120  0  80   0 - 87329 poll_s tty2     00:00:00 gsd-print-notif
0 S  1000   1338   1120  0  80   0 - 105836 poll_s tty2    00:00:00 gsd-rfkill
0 S  1000   1340   1120  0  80   0 - 68933 poll_s tty2     00:00:00 gsd-screensaver
0 S  1000   1341   1120  0  80   0 - 113209 poll_s tty2    00:00:00 gsd-sharing
0 S  1000   1343   1120  0  80   0 - 94484 poll_s tty2     00:00:00 gsd-smartcard
0 S  1000   1348   1120  0  80   0 - 83215 poll_s tty2     00:00:00 gsd-sound
0 S  1000   1350   1120  0  80   0 - 107103 poll_s tty2    00:00:00 gsd-wacom
0 S  1000   1355   1120  0  80   0 - 123639 poll_s tty2    00:00:00 gsd-xsettings
0 S  1000   1365   1120  0  80   0 - 69540 poll_s tty2     00:00:00 gsd-a11y-settin
0 S  1000   1377   1120  0  80   0 - 164674 poll_s tty2    00:00:01 gsd-color
0 S  1000   1378   1120  0  80   0 - 117434 poll_s tty2    00:00:00 gsd-datetime
0 S  1000   1379   1120  0  80   0 - 85890 poll_s tty2     00:00:00 gsd-clipboard
0 S  1000   1380   1120  0  80   0 - 124485 poll_s tty2    00:00:00 gsd-keyboard
0 S  1000   1381   1120  0  80   0 - 198210 poll_s tty2    00:00:00 gsd-media-keys
0 S  1000   1382   1120  0  80   0 - 91113 poll_s tty2     00:00:00 gsd-housekeepin
0 S  1000   1401      1  0  80   0 - 127189 poll_s tty2    00:00:00 gsd-printer
0 S  1000   1431   1120  0  80   0 - 259545 poll_s tty2    00:00:21 nautilus-deskto
0 S  1000   1432      1  0  80   0 - 130917 poll_s tty2    00:00:07 vmtoolsd
0 S  1000   1436   1120  0  80   0 - 280922 poll_s tty2    00:00:06 gnome-software
0 S  1000   1441   1120  0  80   0 - 67983 poll_s tty2     00:00:00 gsd-disk-utilit
0 S  1000   1456   1089  0  80   0 - 222883 poll_s ?       00:00:00 evolution-calen
0 S  1000   1466   1256  0  80   0 - 51222 poll_s tty2     00:00:01 ibus-engine-sim
0 S  1000   1476   1230  0  80   0 - 92061 poll_s ?        00:00:00 gvfsd-trash
0 S  1000   1510   1456  0  80   0 - 234652 poll_s ?       00:00:00 evolution-calen
0 S  1000   1523   1089  0  80   0 - 183203 poll_s ?       00:00:00 evolution-addre
0 S  1000   1532   1523  0  80   0 - 221528 poll_s ?       00:00:00 evolution-addre
0 S  1000   1546   1089  0  80   0 - 51128 poll_s ?        00:00:00 gvfsd-metadata
4 S     0   1552      1  0  80   0 - 139679 -     ?        00:00:00 fwupd
0 S  1000   1582   1089  0  80   0 - 251296 poll_s ?       00:00:18 nautilus
0 S  1000   1624   1120  0  80   0 - 147896 poll_s tty2    00:00:01 update-notifier
0 S  1000   1640   1089  0  80   0 - 108377 poll_s ?       00:00:00 zeitgeist-daemo
0 S  1000   1648   1089  0  80   0 - 81681 poll_s ?        00:00:00 zeitgeist-fts
0 S  1000   2104   1120  0  80   0 - 215372 poll_s tty2    00:00:00 deja-dup-monito
0 S  1000   3685   1089  0  80   0 - 188083 poll_s ?       00:00:07 eog
0 S  1000   3737   1089  1  80   0 - 234458 poll_s ?       00:00:32 evince
0 S  1000   3743   1089  0  80   0 - 46934 poll_s ?        00:00:00 evinced
1 S  1000   4418   1089  1  80   0 - 209155 poll_s ?       00:00:19 sublime_text
0 S  1000   4431   4418  0  80   0 - 32257 futex_ ?        00:00:00 plugin_host
1 I     0   4675      2  0  80   0 -     0 -      ?        00:00:00 kworker/u256:2
4 S     0   4676      1  0  80   0 - 26920 -      ?        00:00:01 cupsd
4 S     0   4677      1  0  80   0 - 75880 -      ?        00:00:01 cups-browsed
4 S     7   4686   4676  0  80   0 - 21603 -      ?        00:00:00 dbus
1 I     0   4743      2  0  80   0 -     0 -      ?        00:00:00 kworker/u256:0
0 S  1000   4744   1089  1  80   0 - 181587 poll_s ?       00:00:07 gnome-terminal-
0 S  1000   4752   4744  0  80   0 -  7387 wait   pts/0    00:00:00 bash
4 S   100   5382      1  0  80   0 - 17956 -      ?        00:00:00 systemd-network
0 R  1000   5423   4752  0  80   0 -  9004 -      pts/0    00:00:00 ps
