UID         PID   PPID    LWP  C NLWP STIME TTY          TIME CMD
root        361      2    361  0    1 11:32 ?        00:00:00 [loop9]
root        362      2    362  0    1 11:32 ?        00:00:00 [loop10]
root        363      2    363  0    1 11:32 ?        00:00:00 [loop11]
root        364      2    364  0    1 11:32 ?        00:00:00 [loop12]
root        365      2    365  0    1 11:32 ?        00:00:00 [loop13]
root        366      2    366  0    1 11:32 ?        00:00:00 [loop14]
root        367      2    367  0    1 11:32 ?        00:00:00 [loop15]
root        372      2    372  0    1 11:32 ?        00:00:00 [loop16]
root        382      1    382  0    3 11:32 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root        382      1    383  0    3 11:32 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root        382      1    384  0    3 11:32 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root        385      1    385  0    2 11:32 ?        00:00:09 /usr/bin/vmtoolsd
root        385      1   4447  0    2 12:12 ?        00:00:00 /usr/bin/vmtoolsd
systemd+    426      1    426  0    1 11:32 ?        00:00:00 /lib/systemd/systemd-resolved
systemd+    428      1    428  0    2 11:32 ?        00:00:00 /lib/systemd/systemd-timesyncd
systemd+    428      1    432  0    2 11:32 ?        00:00:00 /lib/systemd/systemd-timesyncd
syslog      627      1    627  0    4 11:32 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog      627      1    632  0    4 11:32 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog      627      1    633  0    4 11:32 ?        00:00:00 /usr/sbin/rsyslogd -n
syslog      627      1    634  0    4 11:32 ?        00:00:00 /usr/sbin/rsyslogd -n
root        629      1    629  0    5 11:32 ?        00:00:00 /usr/lib/udisks2/udisksd
root        629      1    631  0    5 11:32 ?        00:00:00 /usr/lib/udisks2/udisksd
root        629      1    636  0    5 11:32 ?        00:00:00 /usr/lib/udisks2/udisksd
root        629      1    732  0    5 11:33 ?        00:00:00 /usr/lib/udisks2/udisksd
root        629      1    747  0    5 11:33 ?        00:00:00 /usr/lib/udisks2/udisksd
message+    630      1    630  0    1 11:32 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        637      1    637  0    1 11:32 ?        00:00:00 /usr/sbin/acpid
root        638      1    638  0    2 11:32 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root        638      1    762  0    2 11:33 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root        639      1    639  0    3 11:32 ?        00:00:00 /usr/sbin/ModemManager
root        639      1    721  0    3 11:33 ?        00:00:00 /usr/sbin/ModemManager
root        639      1    723  0    3 11:33 ?        00:00:00 /usr/sbin/ModemManager
avahi       640      1    640  0    1 11:32 ?        00:00:00 avahi-daemon: running [ubuntu.local]
root        642      1    642  0    1 11:32 ?        00:00:00 /usr/bin/VGAuthService
root        644      1    644  0    3 11:32 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root        644      1    705  0    3 11:32 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root        644      1    707  0    3 11:32 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root        646      1    646  0    1 11:32 ?        00:00:00 /lib/systemd/systemd-logind
root        656      1    656  0    1 11:32 ?        00:00:00 /usr/sbin/cron -f
root        664      1    664  0    3 11:32 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        664      1    763  0    3 11:33 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        664      1    770  0    3 11:33 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root        673      1    673  0    1 11:32 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root        678      1    678  0    8 11:32 ?        00:00:00 /usr/lib/snapd/snapd
root        678      1    768  0    8 11:33 ?        00:00:00 /usr/lib/snapd/snapd
root        678      1    769  0    8 11:33 ?        00:00:00 /usr/lib/snapd/snapd
root        678      1    772  0    8 11:33 ?        00:00:00 /usr/lib/snapd/snapd
root        678      1    791  0    8 11:33 ?        00:00:00 /usr/lib/snapd/snapd
root        678      1    792  0    8 11:33 ?        00:00:00 /usr/lib/snapd/snapd
root        678      1    833  0    8 11:33 ?        00:00:00 /usr/lib/snapd/snapd
root        678      1    975  0    8 11:33 ?        00:00:00 /usr/lib/snapd/snapd
root        724      1    724  0    3 11:33 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root        724      1    725  0    3 11:33 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root        724      1    727  0    3 11:33 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
avahi       745    640    745  0    1 11:33 ?        00:00:00 avahi-daemon: chroot helper
root        786      1    786  0    3 11:33 ?        00:00:00 /usr/sbin/gdm3
root        786      1    787  0    3 11:33 ?        00:00:00 /usr/sbin/gdm3
root        786      1    788  0    3 11:33 ?        00:00:00 /usr/sbin/gdm3
root        790    786    790  0    3 11:33 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
root        790    786    794  0    3 11:33 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
root        790    786    795  0    3 11:33 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
whoopsie    829      1    829  0    3 11:33 ?        00:00:00 /usr/bin/whoopsie -f
whoopsie    829      1    844  0    3 11:33 ?        00:00:00 /usr/bin/whoopsie -f
whoopsie    829      1    845  0    3 11:33 ?        00:00:00 /usr/bin/whoopsie -f
kernoops    840      1    840  0    1 11:33 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    846      1    846  0    1 11:33 ?        00:00:00 /usr/sbin/kerneloops
gdm         887      1    887  0    1 11:33 ?        00:00:00 /lib/systemd/systemd --user
gdm         888    887    888  0    1 11:33 ?        00:00:00 (sd-pam)
gdm         900    790    900  0    3 11:33 tty1     00:00:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm         900    790    901  0    3 11:33 tty1     00:00:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm         900    790    903  0    3 11:33 tty1     00:00:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm         902    887    902  0    1 11:33 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gdm         904    900    904  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm         904    900    905  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm         904    900    906  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
